,n,augs,score,vocab
0,10.0,0.0,0.431,187.0
1,10.0,4.0,0.548,1930.0
2,10.0,8.0,0.523,2267.0
3,10.0,16.0,0.587,2828.0
4,10.0,32.0,0.606,3540.0
5,10.0,64.0,0.573,4425.0
6,50.0,0.0,0.435,987.0
7,50.0,4.0,0.596,5892.0
8,50.0,8.0,0.656,6916.0
9,50.0,16.0,0.679,8177.0
10,50.0,32.0,0.666,9528.0
11,50.0,64.0,0.683,11092.0
12,100.0,0.0,0.486,1352.0
13,100.0,4.0,0.612,1890.0
14,100.0,8.0,0.58,2196.0
15,100.0,16.0,0.601,2738.0
16,100.0,32.0,0.61,3425.0
17,100.0,64.0,0.605,4277.0
18,500.0,0.0,0.591,3921.0
19,500.0,4.0,0.632,5517.0
20,500.0,8.0,0.664,6484.0
21,500.0,16.0,0.666,7621.0
22,500.0,32.0,0.658,8915.0
23,500.0,64.0,0.658,10410.0
24,2000.0,0.0,0.697,9586.0
25,2000.0,4.0,0.703,13105.0
26,2000.0,8.0,0.686,14715.0
27,2000.0,16.0,0.701,16489.0
28,2000.0,32.0,0.674,18334.0
29,2000.0,64.0,0.696,20000.0
