,n_base,n_aug,del_p,acc
0,2000.0,100000.0,100.0,0.839
1,2000.0,100000.0,95.0,0.823
2,2000.0,100000.0,90.0,0.824
3,2000.0,100000.0,85.0,0.821
4,2000.0,100000.0,80.0,0.824
5,2000.0,100000.0,75.0,0.823
6,2000.0,100000.0,70.0,0.821
7,2000.0,100000.0,65.0,0.822
8,2000.0,100000.0,60.0,0.817
9,2000.0,100000.0,55.0,0.828
10,2000.0,100000.0,50.0,0.831
11,2000.0,100000.0,45.0,0.831
12,2000.0,100000.0,40.0,0.84
13,2000.0,100000.0,35.0,0.839
14,2000.0,100000.0,30.0,0.836
15,2000.0,100000.0,25.0,0.837
16,2000.0,100000.0,20.0,0.838
17,2000.0,100000.0,15.0,0.839
18,2000.0,100000.0,10.0,0.838
19,2000.0,100000.0,5.0,0.839
20,2000.0,100000.0,0.0,0.835
21,500.0,50000.0,100.0,0.792
22,500.0,50000.0,95.0,0.769
23,500.0,50000.0,90.0,0.766
24,500.0,50000.0,85.0,0.781
25,500.0,50000.0,80.0,0.772
26,500.0,50000.0,75.0,0.771
27,500.0,50000.0,70.0,0.772
28,500.0,50000.0,65.0,0.769
29,500.0,50000.0,60.0,0.767
30,500.0,50000.0,55.0,0.766
31,500.0,50000.0,50.0,0.789
32,500.0,50000.0,45.0,0.787
33,500.0,50000.0,40.0,0.786
34,500.0,50000.0,35.0,0.785
35,500.0,50000.0,30.0,0.784
36,500.0,50000.0,25.0,0.786
37,500.0,50000.0,20.0,0.786
38,500.0,50000.0,15.0,0.783
39,500.0,50000.0,10.0,0.778
40,500.0,50000.0,5.0,0.782
41,500.0,50000.0,0.0,0.785
42,100.0,10000.0,100.0,0.707
43,100.0,10000.0,95.0,0.66
44,100.0,10000.0,90.0,0.653
45,100.0,10000.0,85.0,0.66
46,100.0,10000.0,80.0,0.658
47,100.0,10000.0,75.0,0.66
48,100.0,10000.0,70.0,0.658
49,100.0,10000.0,65.0,0.656
50,100.0,10000.0,60.0,0.651
51,100.0,10000.0,55.0,0.675
52,100.0,10000.0,50.0,0.676
53,100.0,10000.0,45.0,0.673
54,100.0,10000.0,40.0,0.669
55,100.0,10000.0,35.0,0.674
56,100.0,10000.0,30.0,0.668
57,100.0,10000.0,25.0,0.665
58,100.0,10000.0,20.0,0.667
59,100.0,10000.0,15.0,0.667
60,100.0,10000.0,10.0,0.669
61,100.0,10000.0,5.0,0.67
62,100.0,10000.0,0.0,0.685
